ticker,name,sector,notes
AAPL,Apple Inc.,Technology,
MSFT,Microsoft Corporation,Technology,
AMZN,Amazon.com Inc.,Technology / Consumer Discretionary,
GOOGL,Alphabet Inc. Class A,Technology,
META,Meta Platforms Inc.,Technology,Cotizaba como FB hasta 2022
NVDA,NVIDIA Corporation,Technology,
NFLX,Netflix Inc.,Communication Services,
ADBE,Adobe Inc.,Technology,
AVGO,Broadcom Inc.,Technology,
COST,Costco Wholesale Corporation,Consumer Staples,
CSCO,Cisco Systems Inc.,Technology,
INTC,Intel Corporation,Technology,Underperformer incluido para mitigar survivorship bias
QCOM,Qualcomm Inc.,Technology,
TXN,Texas Instruments Inc.,Technology,
AMGN,Amgen Inc.,Healthcare,
SBUX,Starbucks Corporation,Consumer Discretionary,
INTU,Intuit Inc.,Technology,
ISRG,Intuitive Surgical Inc.,Healthcare,
GILD,Gilead Sciences Inc.,Healthcare,Underperformer incluido para mitigar survivorship bias
BIIB,Biogen Inc.,Healthcare,Underperformer incluido para mitigar survivorship bias
VRTX,Vertex Pharmaceuticals Inc.,Healthcare,
REGN,Regeneron Pharmaceuticals Inc.,Healthcare,
AMAT,Applied Materials Inc.,Technology,
LRCX,Lam Research Corporation,Technology,
ADSK,Autodesk Inc.,Technology,
ILMN,Illumina Inc.,Healthcare,Underperformer post-2021
BIDU,Baidu Inc.,Technology,Underperformer — riesgo regulatorio chino
PYPL,PayPal Holdings Inc.,Financial Technology,Underperformer post-2021
WBA,Walgreens Boots Alliance,Healthcare / Retail,Underperformer incluido para mitigar survivorship bias
CTSH,Cognizant Technology Solutions,Technology,
EA,Electronic Arts Inc.,Communication Services,
KLAC,KLA Corporation,Technology,
MCHP,Microchip Technology Inc.,Technology,
CDNS,Cadence Design Systems Inc.,Technology,
SNPS,Synopsys Inc.,Technology,
MNST,Monster Beverage Corporation,Consumer Staples,
WDAY,Workday Inc.,Technology,
IDXX,IDEXX Laboratories Inc.,Healthcare,
NXPI,NXP Semiconductors N.V.,Technology,
CHKP,Check Point Software Technologies,Technology,
