Date,equity
2021-01-04,9992.204415751188
2021-01-05,10074.342513400832
2021-01-06,10017.957205348714
2021-01-07,10193.681732641642
2021-01-08,10276.25427790275
2021-01-11,10216.885385248763
2021-01-12,10233.969837154991
2021-01-13,10239.423713516237
2021-01-14,10329.63718486637
2021-01-15,10255.35335120741
2021-01-19,10432.434720620691
2021-01-20,10551.533032227117
2021-01-21,10547.20388538041
2021-01-22,10495.844688664734
2021-01-25,10554.481151030328
2021-01-26,10500.739319836099
2021-01-27,10165.547865623135
2021-01-28,10261.749057440196
2021-01-29,10109.551419242462
2021-02-01,10326.624204965663
2021-02-02,10469.352507358055
2021-02-03,10338.119678268637
2021-02-04,10424.20846036375
2021-02-05,10441.390175332757
2021-02-08,10585.590681276954
2021-02-09,10609.89388591919
2021-02-10,10615.22883968288
2021-02-11,10751.340469907453
2021-02-12,10850.364939819667
2021-02-16,10838.867670218624
2021-02-17,10760.315292628089
2021-02-18,10673.129492942197
2021-02-19,10728.805388523904
2021-02-22,10520.610045743351
2021-02-23,10459.634545621851
2021-02-24,10572.381744821392
2021-02-25,10212.741378809711
2021-02-26,10275.718981334563
2021-03-01,10494.979818475527
2021-03-02,10354.700116822247
2021-03-03,10104.0994405919
2021-03-04,9880.673725319117
2021-03-05,10050.719367078042
2021-03-08,9740.167880763327
2021-03-09,10091.442304959135
2021-03-10,10041.893539614754
2021-03-11,10252.26885597985
2021-03-12,10155.874423992118
2021-03-15,10279.870653693073
2021-03-16,10344.181959906573
2021-03-17,10403.157574891451
2021-03-18,10132.317888328293
2021-03-19,10209.300346614065
2021-03-22,10381.076081328225
2021-03-23,10294.200219731763
2021-03-24,10192.126989551394
2021-03-25,10157.479770963431
2021-03-26,10420.594864659755
2021-03-29,10363.50166899542
2021-03-30,10308.947660167447
2021-03-31,10461.146241916334
2021-04-01,10681.415477792114
2021-04-05,10842.494140472054
2021-04-06,10827.970606528117
2021-04-07,10819.286788335241
2021-04-08,10903.080954164658
2021-04-09,10918.075856881649
2021-04-12,10865.680906943278
2021-04-13,10915.365658938445
2021-04-14,10833.107071611063
2021-04-15,10975.308266766951
2021-04-16,10980.289507966942
2021-04-19,10860.414228364547
2021-04-20,10805.790905642461
2021-04-21,10912.795605997104
2021-04-22,10797.746347959428
2021-04-23,10919.069181377896
2021-04-26,10982.887191354883
2021-04-27,10915.195490701006
2021-04-28,10863.701906307648
2021-04-29,10910.950251591865
2021-04-30,10785.173322231543
2021-05-03,10789.460241484121
2021-05-04,10638.340686938871
2021-05-05,10648.0198997197
2021-05-06,10734.711333603385
2021-05-07,10806.71417515656
2021-05-10,10589.289033001583
2021-05-11,10599.288784896948
2021-05-12,10353.354050979595
2021-05-13,10467.25434145299
2021-05-14,10645.43977849717
2021-05-17,10614.610818443765
2021-05-18,10564.80526447677
2021-05-19,10608.47669661491
2021-05-20,10800.514427482163
2021-05-21,10747.97407893873
2021-05-24,10874.605010317227
2021-05-25,10909.029982481308
2021-05-26,10910.136331191348
2021-05-27,10896.571193418955
2021-05-28,10926.761430660277
2021-06-01,10897.992392361653
2021-06-02,10933.805763481907
2021-06-03,10837.960388342139
2021-06-04,11025.707746739557
2021-06-07,11108.345845939435
2021-06-08,11090.414004878998
2021-06-09,11103.239986497278
2021-06-10,11222.178443118532
2021-06-11,11206.565264981531
2021-06-14,11280.856596032076
2021-06-15,11200.778309592299
2021-06-16,11114.631717881894
2021-06-17,11168.91268014887
2021-06-18,11073.839159179115
2021-06-21,11141.217438591491
2021-06-22,11182.88939053103
2021-06-23,11169.108984642808
2021-06-24,11232.735535218606
2021-06-25,11244.364032830443
2021-06-28,11350.239463632366
2021-06-29,11391.342302642432
2021-06-30,11360.980959821278
2021-07-01,11341.941241208253
2021-07-02,11409.001576856517
2021-07-06,11395.190877302539
2021-07-07,11410.701605415667
2021-07-08,11346.343460004808
2021-07-09,11432.90110439855
2021-07-12,11453.26486473812
2021-07-13,11445.503034311329
2021-07-14,11464.348337030784
2021-07-15,11373.140415557076
2021-07-16,11261.518502249297
2021-07-19,11220.708245930939
2021-07-20,11330.190683991987
2021-07-21,11426.111077234953
2021-07-22,11472.009894585399
2021-07-23,11580.106184571418
2021-07-26,11553.553987901912
2021-07-27,11462.249719214098
2021-07-28,11546.933201517852
2021-07-29,11595.378499956752
2021-07-30,11591.576213693452
2021-08-02,11613.818597717578
2021-08-03,11675.536662109293
2021-08-04,11680.134296008286
2021-08-05,11734.107245511903
2021-08-06,11683.383417528225
2021-08-09,11671.12835675026
2021-08-10,11617.102335452133
2021-08-11,11625.535942401302
2021-08-12,11616.461129450452
2021-08-13,11675.405747332026
2021-08-16,11689.808687452285
2021-08-17,11596.102187003675
2021-08-18,11485.027283226322
2021-08-19,11539.418511294429
2021-08-20,11616.60446820121
2021-08-23,11745.64211652186
2021-08-24,11794.924987462156
2021-08-25,11801.916546359047
2021-08-26,11741.73100385918
2021-08-27,11875.354121426204
2021-08-30,11927.219328651307
2021-08-31,11895.580882665257
2021-09-01,11911.879010265677
2021-09-02,11904.456276928044
2021-09-03,11933.491766505536
2021-09-07,11884.296345339928
2021-09-08,11848.583674172784
2021-09-09,11826.692982991739
2021-09-10,11810.420081588996
2021-09-13,11823.112378806993
2021-09-14,11804.144762069325
2021-09-15,11851.156668537616
2021-09-16,11842.808547286197
2021-09-17,11735.294758996359
2021-09-20,11541.41766771172
2021-09-21,11548.592652869682
2021-09-22,11635.793044149119
2021-09-23,11718.942794046397
2021-09-24,11711.92597122483
2021-09-27,11641.979761287974
2021-09-28,11344.296267136924
2021-09-29,11300.170125985607
2021-09-30,11256.142546590188
2021-10-01,11290.029257837616
2021-10-04,11067.335077003368
2021-10-05,11171.898683109803
2021-10-06,11189.672572048015
2021-10-07,11281.494501758922
2021-10-08,11244.621483828741
2021-10-11,11191.49233370509
2021-10-12,11148.704441652915
2021-10-13,11229.944118574185
2021-10-14,11408.131920956286
2021-10-15,11420.505726120151
2021-10-18,11475.397802520543
2021-10-19,11574.49289360619
2021-10-20,11578.31235309959
2021-10-21,11629.108216659748
2021-10-22,11622.718829784937
2021-10-25,11666.157177242298
2021-10-26,11664.649769825195
2021-10-27,11592.504594691824
2021-10-28,11719.99832956389
2021-10-29,11728.491819873943
2021-11-01,11789.924660454139
2021-11-02,11829.825650339346
2021-11-03,11912.731958641776
2021-11-04,12062.421743443385
2021-11-05,12122.860833639224
2021-11-08,12102.56231734017
2021-11-09,12122.029363418465
2021-11-10,11962.538460753083
2021-11-11,12038.616632161435
2021-11-12,12157.56312805748
2021-11-15,12148.274102856085
2021-11-16,12219.803529708046
2021-11-17,12166.366545525185
2021-11-18,12156.168381567151
2021-11-19,12175.510991569827
2021-11-22,12017.769641639112
2021-11-23,12010.509596258804
2021-11-24,11997.772010291543
2021-11-26,11814.972732837325
2021-11-29,12016.221309826331
2021-11-30,11837.744866460926
2021-12-01,11779.406343066477
2021-12-02,11836.542699467149
2021-12-03,11762.431695334104
2021-12-06,11862.888555867272
