date,portfolio_value,buyhold_value,sma_value,period
2021-01-04,100.0,100.0,100.0,walkforward
2021-01-05,100.822,100.7291,100.7181,walkforward
2021-01-06,100.2577,99.6753,99.6142,walkforward
2021-01-07,102.0163,101.7756,101.6265,walkforward
2021-01-08,102.8427,102.9091,102.7229,walkforward
2021-01-11,102.2486,102.2518,101.8976,walkforward
2021-01-12,102.4195,102.2265,101.8997,walkforward
2021-01-13,102.4741,102.537,102.129,walkforward
2021-01-14,103.377,103.1564,102.6609,walkforward
2021-01-15,102.6335,102.3936,101.8319,walkforward
2021-01-19,104.4057,104.1195,103.4219,walkforward
2021-01-20,105.5976,105.6856,104.6207,walkforward
2021-01-21,105.5543,105.8907,104.7587,walkforward
2021-01-22,105.0403,105.1924,104.1506,walkforward
2021-01-25,105.6272,105.6987,104.511,walkforward
2021-01-26,105.0893,105.1304,103.9204,walkforward
2021-01-27,101.7348,101.6446,100.9468,walkforward
2021-01-28,102.6975,102.8561,102.1014,walkforward
2021-01-29,101.1744,101.317,100.6261,walkforward
2021-02-01,103.3468,103.5992,102.9028,walkforward
2021-02-02,104.7752,105.0999,104.2176,walkforward
2021-02-03,103.4619,103.6033,102.9035,walkforward
2021-02-04,104.3234,104.8657,104.0181,walkforward
2021-02-05,104.4954,105.0888,104.1691,walkforward
2021-02-08,105.9385,106.5199,105.4667,walkforward
2021-02-09,106.1817,106.8073,105.6859,walkforward
2021-02-10,106.2351,106.9743,105.8557,walkforward
2021-02-11,107.5973,108.4524,107.4293,walkforward
2021-02-12,108.5883,109.6289,108.5388,walkforward
2021-02-16,108.4732,109.6085,108.7219,walkforward
2021-02-17,107.6871,108.6417,107.6882,walkforward
2021-02-18,106.8146,107.7342,106.8956,walkforward
2021-02-19,107.3718,108.0788,107.5087,walkforward
2021-02-22,105.2882,105.9302,105.4306,walkforward
2021-02-23,104.6779,105.3083,104.9201,walkforward
2021-02-24,105.8063,106.4488,105.9121,walkforward
2021-02-25,102.2071,102.8195,103.0291,walkforward
2021-02-26,102.8374,103.1854,103.5087,walkforward
2021-03-01,105.0317,105.6749,105.4794,walkforward
2021-03-02,103.6278,104.2019,104.2795,walkforward
2021-03-03,101.1198,101.2829,101.8613,walkforward
2021-03-04,98.8838,99.0305,99.8435,walkforward
2021-03-05,100.5856,100.859,100.9839,walkforward
2021-03-08,97.4777,97.6848,98.4258,walkforward
2021-03-09,100.9932,101.3289,101.0865,walkforward
2021-03-10,100.4973,100.8476,100.5083,walkforward
2021-03-11,102.6027,103.1858,102.2856,walkforward
2021-03-12,101.638,102.2073,101.5536,walkforward
2021-03-15,102.8789,103.6489,102.4032,walkforward
2021-03-16,103.5225,104.2809,102.841,walkforward
